blockNo,blockhash,ticket1,winningNumber1,ticket2,winningNumber2
3800116,34173,2486,6,47049,9
3800117,46577,52083,3,1786,10
3800118,18096,42822,6,47946,10
3800119,56256,44402,2,22086,6
3800120,8124,21893,5,13604,4
3800121,56880,20028,12,6163,3
3800122,63145,8336,0,17143,7
3800123,2715,47007,15,47986,2
3800124,61783,43052,12,22390,6
3800125,13190,37739,11,50591,15
3800126,56789,49413,5,34968,8
3800127,4189,56712,8,19333,5
3800128,25217,43773,13,11950,14
3800129,33368,27185,1,29389,13
3800130,63635,16218,10,7551,15
3800131,34052,26571,11,19025,1
3800132,18604,45959,7,2409,9
3800133,37071,19279,15,24993,1
3800134,8811,39005,13,51898,10
3800135,26209,28223,15,44193,1
3800136,42658,45269,5,4110,14
3800137,34769,43324,12,46255,15
3800138,24049,64758,6,15519,15
3800139,12320,41810,2,22282,10
3800140,52731,50935,7,2925,13
3800141,62698,51000,8,9831,7
3800142,49947,38412,12,9681,1
3800143,11672,48463,15,63616,0
3800144,8640,18447,15,31684,4
3800145,23304,55779,3,22345,9
3800146,44750,44957,13,4887,7
3800147,60661,64603,11,57251,3
3800148,27114,63835,11,49739,11
3800149,1029,9405,13,25857,1
3800150,44668,33961,9,29842,2
3800151,16630,55737,9,7150,14
3800152,8802,22414,14,16093,13
3800153,38288,38946,2,15324,12
3800154,20142,56398,14,59803,11
3800155,14380,31546,10,19912,8
3800156,7026,25302,6,13908,4
3800157,51259,20177,1,33235,3
3800158,57851,33287,7,22094,14
3800159,55211,39384,8,33881,9
3800160,14445,7369,9,5678,14
3800161,13844,38295,7,28389,5
3800162,64440,25671,7,54135,7
3800163,3573,47779,3,1826,2
3800164,50945,50484,4,16058,10
3800165,303,25146,10,4435,3
3800166,27994,21322,10,57648,0
3800167,31670,49599,15,3796,4
3800168,63377,32378,10,35204,4
3800169,1744,17327,15,57772,12
3800170,23324,23657,9,58592,0
3800171,25057,42090,10,51432,8
3800172,4361,32355,3,56979,3
3800173,13270,61666,2,13772,12
3800174,167,11325,13,40381,13
3800175,49180,54036,4,3932,12
3800176,6248,57924,4,19587,3
3800177,42692,61258,10,44866,2
3800178,6598,13660,12,57155,3
3800179,17551,47405,13,24033,1
3800180,52438,6669,13,22626,2
3800181,28774,37660,12,3468,12
3800182,30232,27024,0,51082,10
3800183,46668,8905,9,28847,15
3800184,64145,16873,9,46600,8
3800185,15701,38635,11,18300,12
3800186,26276,39304,8,60482,2
3800187,58288,39297,1,34695,7
3800188,36154,49664,0,23573,5
3800189,6194,65306,10,41509,5
3800190,48288,57834,10,56264,8
3800191,20029,42172,12,18617,9
3800192,51278,45293,13,12960,0
3800193,31872,27992,8,50502,6
3800194,60297,1950,14,41918,14
3800195,15781,23807,15,43777,1
3800196,11530,47301,5,64239,15
3800197,6289,47650,2,26927,15
3800198,26802,56241,1,35052,12
3800199,37354,3534,14,13264,0
3800200,21926,52642,2,63309,13
3800201,41625,19494,6,37171,3
3800202,20368,52685,13,58120,8
3800203,311,8113,1,41453,13
3800204,45836,34572,12,4129,1
3800205,42118,10444,12,50124,12
3800206,27078,17392,0,54997,5
3800207,20994,7334,6,57448,8
3800208,32477,5091,3,11591,7
3800209,36873,27642,10,5156,4
3800210,13981,2719,15,38493,13
3800211,14564,6896,0,10599,7
3800212,48482,15707,11,35617,1
3800213,55425,41932,12,11083,11
3800214,47040,54461,13,54452,4
3800215,60415,8439,7,23057,1
3800216,47207,58085,5,16442,10
3800217,57883,43164,12,34636,12
3800218,26156,43558,6,57998,14
3800219,3840,2157,13,28251,11
3800220,10421,37868,12,59276,12
3800221,34568,25239,7,52139,11
3800222,33513,920,8,5478,6
3800223,29450,48402,2,13033,9
3800224,45581,63657,9,25628,12
3800225,59442,34340,4,36170,10
3800226,11493,12908,12,13930,10
3800227,36705,16689,1,15394,2
3800228,52475,20482,2,14148,4
3800229,29738,9514,10,21457,1
3800230,18570,31523,3,9834,10
3800231,38488,45269,5,35700,4
3800232,2021,15201,1,2742,6
3800233,13005,25005,13,8645,5
3800234,560,35359,15,40670,14
3800235,12130,25327,15,4847,15
3800236,16124,53121,1,19403,11
3800237,53828,28651,11,58717,13
3800238,16539,21396,4,52838,6
3800239,23139,33502,14,41431,7
3800240,57533,5359,15,60506,10
3800241,24646,21321,9,46478,14
3800242,41792,9836,12,56106,10
3800243,23700,60511,15,40366,14
3800244,20914,30585,9,2736,0
3800245,45810,16017,1,19928,8
3800246,36793,6785,1,18827,11
3800247,20982,46456,8,18586,10
3800248,9989,38216,8,27636,4
3800249,44404,25740,12,4918,6
3800250,32804,50270,14,12518,6
3800251,344,9172,4,4994,2
3800252,16497,21076,4,16118,6
3800253,43269,27689,9,8223,15
3800254,2971,25472,0,50384,0
3800255,14470,42382,14,62333,13
3800256,6383,18054,6,5394,2
3800257,63125,48734,14,64699,11
3800258,55379,62852,4,59479,7
3800259,28518,23441,1,12295,7
3800260,38296,63711,15,28385,1
3800261,58254,50826,10,51798,6
3800262,33721,1061,5,22902,6
3800263,40378,59980,12,55864,8
3800264,28159,37348,4,44938,10
3800265,25055,58134,6,51069,13
3800266,44631,30056,8,56208,0
3800267,40114,10995,3,50419,3
3800268,52329,24017,1,55085,13
3800269,13619,18180,4,28429,13
3800270,23350,22334,14,22867,3
3800271,3973,60921,9,20577,1
3800272,52616,5848,8,10463,15
3800273,40324,55828,4,38868,4
3800274,46500,20002,2,64455,7
3800275,19543,9033,9,31627,11
3800276,36250,51740,12,61631,15
3800277,7279,28081,1,25777,1
3800278,6063,28310,6,33055,15
3800279,26168,10582,6,27668,4
3800280,25912,11918,14,29933,13
3800281,20490,5312,0,26616,8
3800282,18014,49496,8,53336,8
3800283,10223,31359,15,39495,7
3800284,22396,63869,13,28881,1
3800285,10676,37576,8,9272,8
3800286,19767,45918,14,62192,0
3800287,35267,1326,14,37779,3
3800288,58232,34735,15,64329,9
3800289,3861,4932,4,19351,7
3800290,11212,40144,0,21833,9
3800291,31838,43730,2,44314,10
3800292,65368,3783,7,24474,10
3800293,45591,22702,14,45286,6
3800294,57980,7957,5,39569,1
3800295,311,44346,10,549,5
3800296,41498,58190,14,29228,12
3800297,12151,53470,14,38703,15
3800298,14741,35358,14,36181,5
3800299,50836,5229,13,39400,8
3800300,19413,3189,5,11005,13
3800301,15283,38573,13,17439,15
3800302,128,10214,6,18884,4
3800303,22840,18677,5,61641,9
3800304,33802,27086,14,31989,5
3800305,35007,61074,2,35510,6
3800306,50327,9485,13,20906,10
3800307,42272,25167,15,47876,4
3800308,17253,11986,2,34068,4
3800309,34526,64377,9,5459,3
3800310,6277,56739,3,57386,10
3800311,10847,32894,14,20662,6
3800312,54875,44128,0,1795,3
3800313,34004,16916,4,44577,1
3800314,57901,49162,10,18084,4
3800315,8239,39072,0,41800,8
3800316,62567,18471,7,43630,14
3800317,21090,51936,0,49527,7
3800318,45164,20196,4,788,4
3800319,53190,57389,13,44217,9
3800320,5451,17836,12,39753,9
3800321,37694,34429,13,63792,0
3800322,23588,28775,7,21481,9
3800323,41689,52611,3,39598,14
3800324,24823,37605,5,36021,5
3800325,42693,20417,1,31866,10
3800326,63662,9099,11,64632,8
3800327,33562,14140,12,40932,4
3800328,1906,61331,3,7865,9
3800329,20746,35595,11,58749,13
3800330,354,23487,15,60135,7
3800331,64941,38459,11,20613,5
3800332,40116,63482,10,14580,4
3800333,19876,49490,2,16902,6
3800334,25776,25216,0,63618,2
3800335,6150,12556,12,29785,9
3800336,51839,5422,14,44489,9
3800337,5910,47572,4,31305,9
3800338,4889,57514,10,16686,14
3800339,54907,20476,12,33469,13
3800340,58901,43586,2,15674,10
3800341,55751,8607,15,18355,3
3800342,43216,38612,4,39778,2
3800343,1301,34591,15,31133,13
3800344,8180,20633,9,50190,14
3800345,58162,21011,3,49299,3
3800346,4364,22837,5,39064,8
3800347,17588,56992,0,43546,10
3800348,50850,57443,3,28486,6
3800349,61728,38040,8,3275,11
3800350,55082,16438,6,35027,3
3800351,42032,47522,2,53271,7
3800352,13926,34761,9,62863,15
3800353,27354,58603,11,19973,5
3800354,61846,54194,2,53640,8
3800355,51870,38754,2,1725,13
3800356,45518,26184,8,21144,8
3800357,56571,19844,4,31567,15
3800358,3850,17813,5,36067,3
3800359,54837,35666,2,57985,1
3800360,58058,26226,2,63144,8
3800361,62517,3928,8,31791,15
3800362,31081,52458,10,23867,11
3800363,60903,22960,0,37517,13
3800364,3463,58613,5,17876,4
3800365,13381,27935,15,44653,13
3800366,17037,44613,5,26635,11
3800367,55550,62428,12,51586,2
3800368,16852,59664,0,1780,4
3800369,57579,59793,1,54387,3
3800370,3978,16109,13,49501,13
3800371,85,52180,4,8886,6
3800372,41375,23261,13,30462,14
3800373,68,38561,1,41603,3
3800374,20548,5773,13,18629,5
3800375,35716,7624,8,49330,2
3800376,59985,50395,11,3028,4
3800377,23556,21892,4,29006,14
3800378,36492,926,14,11944,8
3800379,42100,59450,10,37603,3
3800380,1419,17696,0,46786,2
3800381,25839,45289,9,16294,6
3800382,9854,57841,1,22421,5
3800383,59479,33513,9,47645,13
3800384,47043,51426,2,23354,10
3800385,35046,29660,12,13597,13
3800386,42627,19133,13,29870,14
3800387,43210,8562,2,59871,15
3800388,58305,2139,11,40350,14
3800389,45028,4099,3,42216,8
3800390,54406,28576,0,3929,9
3800391,32199,25383,7,34030,14
3800392,52445,38754,2,44192,0
3800393,64479,4988,12,43114,10
3800394,44540,39792,0,13251,3
3800395,19246,54034,2,58663,7
3800396,6463,24346,10,37147,11
3800397,25792,6415,15,21793,1
3800398,45704,53524,4,44977,1
3800399,36645,30047,15,58258,2
3800400,40639,57022,14,31844,4
3800401,42990,54737,1,25422,14
3800402,27893,9629,13,7714,2
3800403,8029,55080,8,9240,8
3800404,61440,21445,5,2827,11
3800405,57245,27707,11,60206,14
3800406,29262,2171,11,35045,5
3800407,11613,29009,1,5779,3
3800408,50786,42828,12,36353,1
3800409,65182,13763,3,18208,0
3800410,26370,50519,7,53215,15
3800411,12588,37087,15,23036,12
3800412,51178,24420,4,15210,10
3800413,35551,39354,10,1139,3
3800414,35935,34336,0,55105,1
3800415,49437,7302,6,52314,10
3800416,33163,7231,15,20787,3
3800417,44594,62205,13,48065,1
3800418,16460,1070,14,2119,7
3800419,19859,60760,8,51554,2
3800420,3195,48697,9,59366,6
3800421,5197,2882,2,49747,3
3800422,53534,5610,10,25283,3
3800423,18637,33712,0,3308,12
3800424,53631,59697,1,51694,14
3800425,38001,24916,4,43300,4
3800426,14947,12677,5,3622,6
3800427,43371,48404,4,13067,11
3800428,2551,21928,8,9857,1
3800429,43773,34810,10,38811,11
3800430,21405,48844,12,59237,5
3800431,5477,13163,11,61740,12
3800432,4572,55542,6,61232,0
3800433,25195,17250,2,25187,3
3800434,10719,1968,0,20894,14
3800435,33520,42275,3,7225,9
3800436,1156,55275,11,56441,9
3800437,30198,24102,6,28004,4
3800438,58613,1899,11,24652,12
3800439,65274,42603,11,33792,0
3800440,12005,12910,14,4773,5
3800441,4258,40586,10,30953,9
3800442,777,24859,11,63457,1
3800443,25634,49654,6,1848,8
3800444,52645,57477,5,30031,15
3800445,9562,15372,12,49823,15
3800446,33105,36219,11,41656,8
3800447,33211,56441,9,28292,4
3800448,8303,39849,9,21313,1
3800449,42043,59388,12,59592,8
3800450,44815,45291,11,46725,5
3800451,52853,47594,10,35904,0
3800452,24155,54260,4,13250,2
3800453,30606,31749,5,65448,8
3800454,9926,10480,0,27687,7
3800455,38815,35512,8,58253,13
3800456,6721,17518,14,41198,14
3800457,9436,20273,1,3102,14
3800458,58988,53034,10,32862,14
3800459,24480,19476,4,34778,10
3800460,57416,27088,0,60755,3
3800461,19446,18748,12,7889,1
3800462,2128,5951,15,23348,4
3800463,11553,52608,0,23673,9
3800464,31771,57220,4,59721,9
3800465,16664,13282,2,41403,11
3800466,20469,62147,3,56277,5
3800467,33691,25892,4,16048,0
3800468,31344,13234,2,47300,4
3800469,17414,17783,7,11951,15
3800470,2744,42584,8,22867,3
3800471,14646,10227,3,17681,1
3800472,14525,35454,14,23627,11
3800473,34470,28518,6,20368,0
3800474,284,47762,2,16779,11
3800475,5605,20600,8,47597,13
3800476,29121,95,15,39143,7
3800477,4123,42529,1,63790,14
3800478,5783,54780,12,11820,12
3800479,52346,57957,5,21571,3
3800480,8180,59092,4,19834,10
3800481,53301,17142,6,43714,2
3800482,23847,4269,13,20050,2
3800483,62756,11743,15,7500,12
3800484,51865,4439,7,60178,2
3800485,63301,14723,3,12897,1
3800486,31338,55508,4,19214,14
3800487,14366,4859,11,45823,15
3800488,47785,56433,1,33531,11
3800489,49440,6533,5,28219,11
3800490,29116,41243,11,57226,10
3800491,26795,364,12,37521,1
3800492,37266,4211,3,54341,5
3800493,63659,22654,14,61856,0
3800494,51241,17019,11,5866,10
3800495,18712,47131,11,50051,3
3800496,57452,34131,3,45905,1
3800497,51944,30933,5,60423,7
3800498,33869,53771,11,14499,3
3800499,47296,33397,5,3376,0
3800500,1720,38731,11,54751,15
3800501,50573,11313,1,55260,12
3800502,15605,29904,0,33308,12
3800503,62536,43967,15,33329,1
3800504,604,21451,11,9811,3
3800505,51912,30920,8,58530,2
3800506,31028,3518,14,45600,0
3800507,43018,33049,9,60249,9
3800508,9977,39208,8,60637,13
3800509,10357,14758,6,9146,10
3800510,28498,59163,11,15628,12
3800511,1238,61127,7,11915,11
3800512,35393,43591,7,35691,11
3800513,4392,26335,15,19227,11
3800514,28219,41253,5,46541,13
3800515,14708,20646,6,35952,0
3800516,12947,42315,11,1081,9
3800517,29689,48199,7,45017,9
3800518,8384,43416,8,23081,9
3800519,62721,49137,1,17214,14
3800520,63872,53921,1,19900,12
3800521,61793,43863,7,60793,9
3800522,35800,3775,15,45796,4
3800523,47883,54363,11,62882,2
3800524,18103,56902,6,35383,7
3800525,1069,38139,11,33281,1
3800526,5224,9067,11,7010,2
3800527,31818,25172,4,27507,3
3800528,6761,52206,14,27289,9
3800529,43935,13124,4,1776,0
3800530,14853,62876,12,44186,10
3800531,51079,2670,14,46839,7
3800532,25342,35243,11,5545,9
3800533,43938,35591,7,45180,12
3800534,50995,39687,7,1613,13
3800535,41650,3106,2,47790,14
3800536,43281,55562,10,22499,3
3800537,348,57820,12,5842,2
3800538,42801,19552,0,16333,13
3800539,44110,3274,10,52716,12
3800540,22513,37356,12,32360,8
3800541,60810,20147,3,49045,5
3800542,6182,53418,10,31481,9
3800543,24121,61762,2,49014,6
3800544,37118,18731,11,41653,5
3800545,34288,20547,3,54932,4
3800546,18336,52485,5,37277,13
3800547,38179,39031,7,28089,9
3800548,48941,3921,1,43870,14
3800549,27693,33346,2,19349,5
3800550,61176,8246,6,46301,13
3800551,50346,63532,12,53887,15
3800552,49653,9447,7,47102,14
3800553,22097,34862,14,22918,6
3800554,8870,41743,15,23194,10
3800555,32565,56911,15,32113,1
3800556,9127,5107,3,46238,14
3800557,210,57784,8,40356,4
3800558,11664,14613,5,32272,0
3800559,54805,20779,11,407,7
3800560,15047,48663,7,28228,4
3800561,22643,54382,14,12753,1
3800562,8350,31040,0,26045,13
3800563,26149,56859,11,39437,13
3800564,4926,19157,5,59202,2
3800565,30557,61969,1,18443,11
3800566,60264,37191,7,27820,12
3800567,48896,17653,5,45015,7
3800568,49978,32304,0,26295,7
3800569,39230,4261,5,51136,0
3800570,18942,14793,9,54503,7
3800571,42200,9537,1,26645,5
3800572,54079,49500,12,33184,0
3800573,28142,13191,7,29112,8
3800574,48839,50435,3,27211,11
3800575,1055,23549,13,38362,10
3800576,57709,28630,6,51474,2
3800577,29467,13269,5,10326,6
3800578,36725,61737,9,62796,12
3800579,10221,49186,2,54933,5
3800580,40540,4653,13,51668,4
3800581,2250,7873,1,6661,5
3800582,37561,10900,4,49267,3
3800583,14582,23513,9,56586,10
3800584,42654,63606,6,48222,14
3800585,20122,62929,1,23278,14
3800586,38186,42124,12,53520,0
3800587,11565,7232,0,1036,12
3800588,32250,58592,0,59743,15
3800589,61955,13491,3,5467,11
3800590,16194,11724,12,10690,2
3800591,59047,62472,8,60411,11
3800592,4966,6780,12,64080,0
3800593,63854,50059,11,64150,6
3800594,13590,50794,10,7513,9
3800595,65027,1762,2,8480,0
3800596,64808,36662,6,38890,10
3800597,28581,49094,6,64392,8
3800598,14371,17406,14,20535,7
3800599,49591,28309,5,53563,11
3800600,34944,20922,10,23468,12
3800601,14278,41002,10,57910,6
3800602,48851,58189,13,18030,14
3800603,61515,59733,5,21176,8
3800604,39288,35357,13,18833,1
3800605,36810,16154,10,27317,5
3800606,27945,49805,13,62001,1
3800607,33937,14425,9,13236,4
3800608,3038,31171,3,26194,2
3800609,32226,29623,7,42773,5
3800610,20549,48365,13,63401,9
3800611,44542,26536,8,35761,1
3800612,59967,263,7,41967,15
3800613,7380,42540,12,26932,4
3800614,64149,23975,7,58932,4
3800615,10434,56190,14,56089,9
3800616,30267,23878,6,33695,15
3800617,24206,13583,15,63677,13
3800618,18242,3350,6,24409,9
3800619,9408,40438,6,6941,13
3800620,32751,13269,5,41844,4
3800621,29249,54613,5,21996,12
3800622,42525,36141,13,65343,15
3800623,62770,32478,14,5018,10
3800624,61577,61143,7,33311,15
3800625,52897,64729,9,60321,1
3800626,38462,56957,13,39548,12
3800627,20614,11290,10,58192,0
3800628,47516,37572,4,42149,5
3800629,34314,572,12,53744,0
3800630,15997,27876,4,38453,5
3800631,57000,986,10,34288,0
3800632,48647,47858,2,54188,12
3800633,52832,7808,0,57624,8
3800634,37251,30744,8,64875,11
3800635,20069,1833,9,918,6
3800636,1522,13057,1,18889,9
3800637,26773,52029,13,48142,14
3800638,12257,16725,5,62199,7
3800639,47386,64233,9,44040,8
3800640,16081,52946,2,50175,15
3800641,20947,40691,3,22728,8
3800642,18883,17462,6,11689,9
3800643,51962,16890,10,37352,8
3800644,35650,25792,0,60184,8
3800645,28326,45666,2,28524,12
3800646,34294,48986,10,56675,3
3800647,19793,15197,13,62762,10
3800648,8165,19067,11,49701,5
3800649,44879,29127,7,29057,1
3800650,9391,12609,1,46729,9
3800651,53691,63345,1,34911,15
3800652,2814,19872,0,56119,7
3800653,2927,17237,5,49041,1
3800654,14849,6040,8,16367,15
3800655,35965,22387,3,17672,8
3800656,50344,9924,4,15304,8
3800657,54803,56752,0,60810,10
3800658,57555,48313,9,59871,15
3800659,52738,24934,6,18735,15
3800660,26765,11566,14,21363,3
3800661,52402,17233,1,4624,0
3800662,2215,2551,7,21098,10
3800663,37083,60459,11,2081,1
3800664,34347,25449,9,36838,6
3800665,48348,11434,10,874,10
3800666,62699,12662,6,31098,10
3800667,19509,39681,1,19677,13
3800668,38411,42599,7,24551,7
3800669,36574,17898,10,38970,10
3800670,28596,33743,15,3662,14
3800671,54235,53843,3,21758,14
3800672,46323,22011,11,58933,5
3800673,48155,36995,3,34368,0
3800674,38905,45118,14,50727,7
3800675,31014,17124,4,28855,7
3800676,13522,7693,13,54002,2
3800677,28945,1543,7,29334,6
3800678,51260,31377,1,59924,4
3800679,3856,43647,15,50086,6
3800680,1274,667,11,6068,4
3800681,4298,4869,5,63256,8
3800682,14731,43236,4,5618,2
3800683,37434,5994,10,26008,8
3800684,16628,37392,0,2784,0
3800685,5331,26274,2,24586,10
3800686,7212,1571,3,16526,14
3800687,21183,64455,7,58454,6
3800688,19812,37768,8,4361,9
3800689,38156,37469,13,29698,2
3800690,815,54678,6,45538,2
3800691,15607,21235,3,60741,5
3800692,6588,32719,15,40930,2
3800693,42572,32965,5,38447,15
3800694,27359,11299,3,11811,3
3800695,37458,35511,7,44298,10
3800696,5907,5439,15,15527,7
3800697,28905,51303,7,51854,14
3800698,19943,20445,13,61809,1
3800699,62798,41204,4,61923,3
3800700,20267,24488,8,1369,9
3800701,11516,28030,14,53049,9
3800702,5278,65441,1,15812,4
3800703,58547,53201,1,23316,4
3800704,290,40671,15,48414,14
3800705,52999,20349,13,63998,14
3800706,10518,60544,0,26042,10
3800707,60190,11571,3,52278,6
3800708,33439,58016,0,49144,8
3800709,26514,48693,5,25425,1
3800710,4497,53932,12,51538,2
3800711,26505,11465,9,19446,6
3800712,52694,32855,7,50726,6
3800713,41036,64530,2,47797,5
3800714,42103,57620,4,48497,1
3800715,63729,23402,10,37337,9
3800716,56259,17044,4,39725,13
3800717,6262,48656,0,36295,7
3800718,65406,22266,10,31292,12
3800719,8337,30130,2,13829,5
3800720,47600,13995,11,57946,10
3800721,30521,46085,5,8279,7
3800722,22527,7424,0,5503,15
3800723,25185,58004,4,30353,1
3800724,59409,63787,11,60518,6
3800725,23631,3283,3,6041,9
3800726,48570,29014,6,2370,2
3800727,40092,14862,14,34023,7
3800728,25427,10134,6,23908,4
3800729,22241,25704,8,7135,15
3800730,29077,22467,3,40764,12
3800731,52798,33283,3,64501,5
3800732,41757,59946,10,65360,0
3800733,34254,51474,2,527,15
3800734,33176,5223,7,42463,15
3800735,19456,41018,10,30210,2
3800736,60675,4517,5,48812,12
3800737,23463,17962,10,21134,14
3800738,9560,9206,6,11997,13
3800739,5893,15063,7,849,1
3800740,13163,47979,11,13777,1
3800741,57977,3491,3,45585,1
3800742,352,43050,10,32210,2
3800743,27684,31798,6,38286,14
3800744,49995,29599,15,64819,3
3800745,7805,1862,6,47744,0
3800746,43089,20488,8,24313,9
3800747,31597,26278,6,46014,14
3800748,3436,62947,3,10880,0
3800749,50539,32832,0,20385,1
3800750,64781,48119,7,44138,10
3800751,41024,9885,13,16270,14
3800752,18030,20635,11,57888,0
3800753,64329,6275,3,45298,2
3800754,38321,51558,6,33678,14
3800755,25592,63489,1,39176,8
3800756,35983,46125,13,5831,7
3800757,24123,3332,4,43307,11
3800758,43633,38955,11,59592,8
3800759,12102,62229,5,23285,5
3800760,44661,53809,1,11531,11
3800761,30721,14542,14,43654,6
3800762,8117,1901,13,43945,9
3800763,50565,44566,6,6757,5
3800764,3777,22356,4,29796,4
3800765,24671,209,1,52765,13
3800766,19420,19773,13,53633,1
3800767,56338,5868,12,32762,10
3800768,11598,31380,4,1566,14
3800769,10451,60214,6,5866,10
3800770,57344,26120,8,30495,15
3800771,683,54183,7,47484,12
3800772,10549,13459,3,30258,2
3800773,39097,16155,11,32305,1
3800774,53253,59386,10,7113,9
3800775,22430,10467,3,331,11
3800776,51164,16349,13,42555,11
3800777,14814,23308,12,33382,6
3800778,62613,53966,14,41433,9
3800779,22653,59676,12,1383,7
3800780,20828,19304,8,29482,10
3800781,37987,24328,8,31643,11
3800782,596,2985,9,15862,6
3800783,63588,5342,14,13457,1
3800784,27323,19239,7,4467,3
3800785,54129,24138,10,15645,13
3800786,24049,48026,10,34644,4
3800787,33067,17847,7,29827,3
3800788,43009,55027,3,25780,4
3800789,34041,7236,4,17869,13
3800790,50989,5160,8,53,5
3800791,10575,23830,6,2143,15
3800792,16949,56853,5,55904,0
3800793,47923,984,8,60787,3
3800794,16082,19114,10,19115,11
3800795,21838,21053,13,62538,10
3800796,7891,9945,9,37443,3
3800797,24452,17616,0,30269,13
3800798,8109,51670,6,50859,11
3800799,25815,30998,6,25413,5
3800800,48869,3589,5,63790,14
3800801,18362,62263,7,16069,5
3800802,16348,11951,15,50608,0
3800803,39465,6014,14,24274,2
3800804,7549,49880,8,27809,1
3800805,43161,51942,6,45213,13
3800806,59074,46719,15,2695,7
3800807,31919,35778,2,60281,9
3800808,5629,19231,15,37131,11
3800809,39882,9980,12,43232,0
3800810,52690,17094,6,20885,5
3800811,10714,59269,5,606,14
3800812,2833,14111,15,42163,3
3800813,1221,60609,1,55549,13
3800814,8698,2800,0,53382,6
3800815,29076,26096,0,36200,8
3800816,17473,56796,12,5706,10
3800817,35780,5118,14,27689,9
3800818,58869,18355,3,7597,13
3800819,53432,15914,10,980,4
3800820,168,9687,7,26278,6
3800821,28238,29551,15,1182,14
